monthEndDate,adjClose
2018-01-31,37.22
2018-02-28,36.10
2018-03-29,36.50
2018-04-29,35.56
2018-05-31,35.79
2018-06-28,36.06
2018-07-31,37.86
2018-08-30,38.58
2018-09-30,39.23
2018-10-31,35.08
2018-11-29,34.52
2018-12-27,33.45
2019-01-29,34.28
2019-02-26,35.64
2019-03-31,36.79
2019-04-29,38.08
2019-05-30,35.98
2019-06-30,37.96
2019-07-31,38.19
2019-08-29,37.76
2019-09-30,39.51
2019-10-31,41.86
2019-11-28,42.40
2019-12-30,44.69
2020-01-30,42.94
2020-02-26,42.32
2020-03-31,36.30
2020-04-29,40.80
2020-05-31,40.49
2020-06-30,43.15
2020-07-30,49.88
2020-08-31,49.58
2020-09-29,49.41
2020-10-29,49.46
2020-11-30,54.93
2020-12-30,58.86
2021-01-31,64.39
2021-02-25,66.31
2021-03-31,66.70
2021-04-28,69.14
2021-05-31,67.73
2021-06-30,68.15
2021-07-29,67.30
2021-08-31,69.54
2021-09-30,66.57
2021-10-31,67.43
2021-11-30,69.31
2021-12-29,71.81
2022-01-25,71.41
2022-02-28,70.89
2022-03-31,69.27
2022-04-28,65.14
2022-05-31,65.27
2022-06-30,56.54
2022-07-31,60.53
2022-08-31,59.27
2022-09-29,53.06
2022-10-31,51.18
2022-11-30,60.63
2022-12-29,56.40
2023-01-31,62.62
2023-02-28,62.71
2023-03-30,63.80
2023-04-27,61.72
2023-05-31,65.58
2023-06-29,67.89
2023-07-31,69.21
2023-08-31,67.22
2023-09-27,65.51
2023-10-31,65.00
2023-11-30,70.19
2023-12-28,72.16
2024-01-31,73.37
2024-02-29,78.28
2024-03-31,85.91
2024-04-29,86.70
2024-05-30,91.19
2024-06-30,102.32
2024-07-31,101.28
2024-08-29,99.58
2024-09-30,101.23
2024-10-31,105.14
2024-11-28,102.76
2024-12-30,108.31
2025-01-21,112.40
2025-02-26,107.41
2025-03-31,98.49
2025-04-29,93.88
2025-05-28,100.10
2025-06-30,108.27
2025-07-31,114.26
2025-08-31,116.42
2025-09-30,129.58
2025-10-30,145.33
2025-11-30,137.99
2025-12-30,147.21
2026-01-29,164.81
2026-02-25,184.38
2026-03-31,171.92
2026-04-29,205.71
2026-05-31,239.20
2026-06-29,245.38
